date,BTC,ETH,XRP,USDT,LINK,BCH,LTC,ADA,XLM,DOT,BNB,BSV,USDC,EOS,TRX,WBTC,XMR,XTZ,XEM,CRO,LEO,FIL,NEO,ATOM,DAI,VET,DASH,MIOTA,HT,REV,UNI,ZEC,ETC,AAVE,YFI,WAVES,BUSD,THETA,CEL,MKR,OMG,SNX,ONT,COMP,UMA,DOGE,FTT,KSM,ALGO,BAT
11/17/2020,17645.40577,480.3600826,0.3024083,1.00083978,13.2447115,255.2885209,75.85234021,0.10960014,0.0860754,4.84466572,28.5305809,166.8501084,1.00007611,2.71210373,0.02646838,17654.38988,125.4303928,2.14210619,0.13389686,0.06436381,1.29957365,29.24780741,16.16371328,5.28647521,1.00276524,0.01234681,83.07084019,0.26562898,3.69339672,0.01046429,3.80348089,66.47040743,5.76629018,78.44328478,23755.19275,4.91430824,1,0.65373353,2.02965291,525.2698261,3.44943421,5.0412764,0.50559017,121.9369186,8.07921976,0.00293588,3.84377319,38.1158599,0.27403033,0.20522838
11/16/2020,16716.11132,459.9403126,0.28552034,1.00041231,12.59079045,250.1392929,71.32624469,0.10400779,0.08189586,4.48549978,28.06410953,158.095134,1.00016163,2.57571957,0.0255961,16665.19593,117.9824614,2.08196438,0.13502051,0.06469113,1.25683207,27.5351348,15.72535719,5.10054222,1.00162604,0.01133671,80.61698855,0.25374455,3.54926433,0.01054432,3.6040116,64.71591166,5.3124326,71.76639355,18651.14368,4.79921442,0.9999,0.61868031,1.89903988,514.7718199,3.42374013,4.37234191,0.47455045,120.7220725,8.22604746,0.00288579,3.69151031,36.22667837,0.26969245,0.19806733
11/15/2020,15955.58744,447.5590953,0.26964156,1.0006467,12.1218131,241.3680262,62.27992055,0.10053113,0.08029435,4.37998835,27.62103009,154.4309279,1.00016798,2.49786955,0.02540897,15887.31708,114.6209442,2.01959024,0.13303342,0.06395296,1.2711869,27.82568545,15.28838961,4.98014056,1.00219682,0.01103568,75.12223515,0.24940238,3.629337,0.01049218,3.86200742,61.22278286,5.02772407,64.23729542,17593.57013,4.40572282,1,0.6035865,1.93573851,515.978068,3.31758518,4.10104833,0.46385261,119.8754205,8.35109375,0.00277541,3.58964133,35.37095787,0.25488568,0.194188
11/14/2020,16068.13871,460.1498367,0.26834244,1.00028762,12.57696003,255.7690365,63.77414998,0.10420159,0.08115832,4.4656222,27.93620058,157.7352169,1.00022437,2.53961862,0.02519053,16039.94331,116.5774447,2.10035771,0.13765142,0.06764896,1.27082126,29.35388994,15.69722358,5.04742864,1.00307922,0.01124481,77.31242665,0.25270825,3.61798512,0.01046937,3.80910701,63.78718574,5.03950969,67.01611273,17193.86042,4.29873154,0.9997,0.61198299,1.93528906,528.8198607,3.41927893,4.28249234,0.47803847,122.2615157,8.24765988,0.002773,3.66434009,37.15448831,0.26582659,0.19621886
11/13/2020,16317.80819,474.6264209,0.2651905,1.00034534,12.8879783,259.1717834,65.45720007,0.10639074,0.08231771,4.5401198,28.18217212,161.1462266,1.00001239,2.59747944,0.02540475,16232.41871,114.1127111,2.15077941,0.13385866,0.07041889,1.28831509,29.22393385,15.98392648,5.21096513,1.00471587,0.01182433,77.57472767,0.25645307,3.63863261,0.0104955,3.8796593,64.91378234,5.13189928,63.39907168,17913.94418,4.08970851,0.9999,0.63339403,2.00311914,553.8793842,3.61660565,4.19916629,0.48885216,116.5177709,8.20118138,0.00282145,3.73774485,38.59622181,0.27974481,0.2027414
11/12/2020,16276.34395,461.0052711,0.25490322,1.00050902,12.42322296,259.8215381,60.36537784,0.10452506,0.08066601,4.39924024,27.61480668,158.165593,0.9992072,2.46178749,0.02493711,16226.75595,112.0469976,2.07269409,0.12991105,0.07205461,1.29126479,29.51756809,15.4592577,5.03527003,1.0052635,0.01064993,78.02248843,0.24831973,3.63290002,0.01056048,2.93014159,62.59607795,5.03202578,51.63241804,15448.42628,3.88708153,1.0001,0.60192344,1.8916139,533.3798847,3.48543683,3.75129853,0.46778806,104.0778687,7.6767092,0.00277901,3.69179614,38.09253466,0.26515918,0.19520199
11/11/2020,15701.33973,462.9605277,0.25625941,1.00098523,12.80753845,257.1214826,59.51502792,0.10596494,0.08069167,4.4572018,27.95617778,159.1252486,1.00014976,2.50334364,0.02505395,15696.94108,113.3657694,2.12173865,0.13252583,0.07066611,1.30102422,30.09772389,15.46938889,5.03386773,1.00748871,0.01138692,69.42821487,0.25081719,3.65925581,0.010518,2.91237512,58.99206142,5.08967331,54.69964668,16769.35361,3.75648762,1.0001,0.6124227,1.94451783,543.8813847,3.51357536,3.98266894,0.47759857,103.2363858,8.50575221,0.00276896,3.68981059,35.60910475,0.27873826,0.1996757
11/10/2020,15290.90268,449.6796211,0.25391118,1.00112683,13.00346297,257.351813,58.23734357,0.10580529,0.07982808,4.41501638,28.1933417,157.1943881,1.00032487,2.49940498,0.0248716,15243.54804,115.3349529,2.14915049,0.13163013,0.06984349,1.29532398,30.3709801,15.58600263,5.07848133,1.00650534,0.01158075,68.89407183,0.25447026,3.66040504,0.01049659,3.00754392,58.96000598,5.12277912,67.00111098,18194.49822,3.81887042,0.9999,0.64100288,1.9107117,550.3475073,3.2113748,4.63880054,0.47893402,102.2002169,7.67233428,0.00275341,3.65680219,34.97499934,0.28678423,0.20176896
11/9/2020,15332.3156,444.1630571,0.25074766,1.00065261,12.52073547,263.9813312,59.36388331,0.10532534,0.07967746,4.34676728,28.01802089,160.1226442,0.99993203,2.49938391,0.02481089,15294.62059,115.6599458,2.09125241,0.12473966,0.07029722,1.28528909,31.19935926,15.37723333,5.13356293,1.00724819,0.01104167,68.06021738,0.25138863,3.74773512,0.01055982,2.67686302,58.46133729,5.03351342,54.88649964,14970.83695,3.78231933,0.9999,0.64102933,1.84861578,523.2808228,3.16310011,4.15574836,0.46743306,94.52001956,6.89214949,0.00266953,3.54111556,33.08756476,0.26062013,0.19350661
11/8/2020,15479.56704,453.5547855,0.2539387,1.00084587,12.6560345,270.6977709,61.05504665,0.10662103,0.08153846,4.37209313,28.3051156,166.8770308,0.99995733,2.53960647,0.02536509,15451.86772,120.3341453,2.08743543,0.12749786,0.07477048,1.28593319,30.69187814,15.43630986,4.80334628,1.00861297,0.01112608,68.03408746,0.2660683,3.76642042,0.01046725,2.84861707,60.63776872,5.17813818,53.74937894,15138.32516,3.51613523,0.9998,0.66439254,1.93130185,534.3836825,3.18179264,4.39833073,0.47037403,97.09571614,7.28298521,0.00271064,3.54669224,32.96064479,0.26649429,0.19829336
11/7/2020,14833.75411,435.7131351,0.24958223,1.00157583,11.75722417,253.5904145,59.14364748,0.1013791,0.07961391,4.24195952,27.73809536,162.2105118,1.00010125,2.49940198,0.02491969,14823.48784,111.3134883,2.02111911,0.11731148,0.07327396,1.27763927,29.94045765,14.85220346,4.61772233,1.00893775,0.01038645,66.6954917,0.25748551,3.72296029,0.01044949,2.46649654,57.31946859,5.0726605,44.60489962,14219.65667,3.44219798,0.9999,0.63985478,1.79431052,519.5364558,3.0581636,3.75335027,0.44381118,92.42451446,6.94170765,0.00267068,3.42302698,31.26752751,0.25826573,0.19250042
11/6/2020,15565.88058,454.7192903,0.25844464,1.00029637,12.11807205,257.7201706,63.13111235,0.10910493,0.08387438,4.57965191,29.01799902,167.6397979,1.00014146,2.53512695,0.02606515,15533.67523,119.4812194,2.08662774,0.12522496,0.07910617,1.27055054,31.75443179,15.66324046,4.87108582,1.00821417,0.01119775,69.95045692,0.26670174,3.80565064,0.01047897,2.5507954,61.27530424,5.35596736,38.45744081,11705.91362,3.56014568,0.9999,0.67602263,1.83926931,539.6249791,3.30492772,3.50762813,0.47375586,95.664701,7.35519044,0.00275989,3.63301485,32.81050382,0.27647072,0.20356066
