,date,ccy,place,close,ret,agg_volume,vol1,vol2,mom1,mom2,kdbd,rsibd,weight,agg_rate
0,2017-01-01,BTC,1,998.33,-0.09132147084473008,1161413112.0,0.021172810346110224,,0.11398379789774382,,,1.0,0.030303030303030307,0
1,2017-01-01,ETH,2,8.17,0.23070364097404686,97320920.0,0.042596316298695175,,0.1378830083565461,,,3.0,0.030303030303030307,0
2,2017-01-01,XRP,3,0.006368,-0.02142769071536854,9592352.0,0.01742240940701129,,-0.011793916821849715,,,2.0,0.030303030303030307,0
3,2017-01-01,LTC,4,4.51,-0.1225059226128149,69030720.0,0.02653862941459044,,0.0367816091954023,,,3.0,0.030303030303030307,0
4,2017-01-01,XMR,5,0.00344,-0.0055385653898385465,472322.1000000002,0.04731588510300792,,-0.04603438713255692,,,2.0,0.030303030303030307,0
5,2017-01-01,ETC,6,1.4,0.035091319811270116,28326535.0,0.11055836582707626,,0.3084112149532709,,,3.0,0.030303030303030307,0
6,2017-01-01,DASH,7,11.23,0.11033476645442253,21717940.0,0.03275517165461723,,0.12187812187812196,,,3.0,0.030303030303030307,0
7,2017-01-01,REP,8,0.141841,-0.0673017631868642,1257516.3000000005,0.06858528018644956,,-0.03370166498623872,,,2.0,0.030303030303030307,0
8,2017-01-01,MAID,9,1.4,0.035091319811270116,28326535.0,0.11055836582707626,,0.3084112149532709,,,3.0,0.030303030303030307,0
9,2017-01-08,BTC,1,911.2,-0.10326535568366246,2052639008.0,0.08226947346567551,0.05957250262196204,-0.08727575050334058,0.016760025887656568,3.0,2.0,0.030303030303030307,0
10,2017-01-08,ETH,2,10.29,-0.03863779270541379,200115400.0,0.08967552190027646,0.06786482157416787,0.2594859241126071,0.4331476323119776,3.0,3.0,0.030303030303030307,0
11,2017-01-08,XRP,3,0.006233,0.07612285549136466,11413293.0,0.029283874355379137,0.02316005681813276,-0.02119974874371866,-0.03274363749224085,3.0,2.0,0.030303030303030307,0
12,2017-01-08,LTC,4,3.99,-0.015151805020602316,95030100.0,0.0673232323441389,0.05054900687269851,-0.11529933481152987,-0.082758620689655,1.0,2.0,0.030303030303030307,0
13,2017-01-08,XMR,5,0.003421,0.06944098309372126,1648058.7000000004,0.055880809708223816,0.049839969941512685,-0.00552325581395352,-0.051303383250138716,3.0,2.0,0.030303030303030307,0
14,2017-01-08,ETC,6,1.45,-0.19761024930904506,31131110.0,0.08550404300564718,0.096518800855666,0.03571428571428581,0.3551401869158877,1.0,2.0,0.030303030303030307,0
15,2017-01-08,DASH,7,12.54,-0.012033839563723614,23051840.0,0.14444759101247126,0.10062481889171347,0.11665182546749775,0.25274725274725274,3.0,2.0,0.030303030303030307,0
16,2017-01-08,REP,8,0.132609,-0.06928701242783443,644251.2000000004,0.032088996071712166,0.051500367269116575,-0.06508696357188681,-0.09659508951685424,3.0,2.0,0.030303030303030307,0
17,2017-01-08,MAID,9,1.45,-0.19761024930904506,31131110.0,0.08550404300564718,0.096518800855666,0.03571428571428581,0.3551401869158877,1.0,2.0,0.030303030303030307,0
18,2017-01-15,BTC,1,821.8,0.1179398606535278,1123984880.0,0.063560011375097,0.0706339630683975,-0.09811237928007033,-0.17682529824807436,3.0,2.0,0.030303030303030307,0
19,2017-01-15,ETH,2,9.9,0.07770898432731599,153865600.0,0.0366414621629336,0.06877362411327112,-0.03790087463556835,0.21175030599755207,3.0,2.0,0.030303030303030307,0
20,2017-01-15,XRP,3,0.006726,-0.0019346683614633875,15810217.0,0.042262394870097184,0.035671205776986924,0.07909513877747476,0.05621859296482401,5.0,2.0,0.030303030303030307,0
21,2017-01-15,LTC,4,3.93,-0.02316705928153429,82938460.0,0.08357668434941046,0.07334223586003542,-0.015037593984962403,-0.12860310421286025,1.0,2.0,0.030303030303030307,0
22,2017-01-15,XMR,5,0.003667,0.007877264690248076,619314.7000000004,0.05067633884009422,0.051549904045324335,0.07190879859690158,0.06598837209302323,5.0,2.0,0.030303030303030307,0
23,2017-01-15,ETC,6,1.19,0.14813019204567526,10909609.0,0.07488412772351634,0.07911982262664383,-0.17931034482758626,-0.15000000000000002,3.0,2.0,0.030303030303030307,0
24,2017-01-15,DASH,7,12.39,0.19846708064359708,35854280.0,0.06023233209192229,0.10670874057982248,-0.011961722488038172,0.10329474621549428,5.0,2.0,0.030303030303030307,0
25,2017-01-15,MAID,8,1.19,0.14813019204567526,10909609.0,0.07488412772351634,0.07911982262664383,-0.17931034482758626,-0.15000000000000002,3.0,2.0,0.030303030303030307,0
26,2017-01-15,REP,9,0.123732,-0.07917763620743834,463962.56000000046,0.08094986162819978,0.059158056941627686,-0.06694115783996568,-0.1276711247100627,3.0,2.0,0.030303030303030307,0
27,2017-01-22,BTC,1,924.67,-0.005606873058461304,883611600.0,0.035441835723480496,0.0520880300961855,0.12517644195668054,0.014782704126426571,5.0,3.0,0.030303030303030307,0
28,2017-01-22,ETH,2,10.7,-0.02077506257496431,84074070.0,0.03193934078083065,0.03413007637224088,0.08080808080808066,0.03984450923226435,5.0,3.0,0.030303030303030307,0
29,2017-01-22,XRP,3,0.006712999999999999,-0.047435503408943085,6181046.0,0.029645122814696626,0.035545066309306844,-0.0019327980969373606,0.07700946574683121,1.0,2.0,0.030303030303030307,0
30,2017-01-22,LTC,4,3.84,0.0026007817000572864,30163120.0,0.013422535060635956,0.05750983097523636,-0.022900763358778664,-0.03759398496240607,3.0,2.0,0.030303030303030307,0
31,2017-01-22,XMR,5,0.003696,0.33446031920495845,426615.2000000004,0.02422836584790985,0.03843210896688532,0.007908371966184768,0.08038585209003224,3.0,2.0,0.030303030303030307,0
32,2017-01-22,ETC,6,1.38,-0.05971923470162216,13405697.0,0.057354645564267115,0.06901585423909971,0.15966386554621834,-0.04827586206896562,5.0,3.0,0.030303030303030307,0
33,2017-01-22,DASH,7,15.11,0.026128200903799303,15106330.0,0.044461527385439015,0.05320035642536658,0.21953188054882955,0.2049441786283892,5.0,3.0,0.030303030303030307,0
34,2017-01-22,MAID,8,1.38,-0.05971923470162216,13405697.0,0.057354645564267115,0.06901585423909971,0.15966386554621834,-0.04827586206896562,5.0,3.0,0.030303030303030307,0
35,2017-01-22,REP,9,0.114313,0.21126535315342387,73570.45000000054,0.0345594042228243,0.05980119793441128,-0.07612420392461118,-0.13796951941421765,3.0,2.0,0.030303030303030307,0
36,2017-01-29,BTC,1,919.5,0.11089817243918708,693151900.0,0.015329886141487285,0.02778633570126693,-0.00559118388181723,0.11888537357021177,3.0,2.0,0.030303030303030307,0
37,2017-01-29,ETH,2,10.48,0.07974906503451562,49270830.0,0.009092265935289522,0.023712278754588208,-0.020560747663551315,0.058585858585858526,3.0,2.0,0.030303030303030307,0
38,2017-01-29,XRP,3,0.006402,0.006228609361335735,4279959.0,0.0222284865869002,0.025397628544221208,-0.046328020259198584,-0.04817127564674406,3.0,2.0,0.030303030303030307,0
39,2017-01-29,LTC,4,3.85,0.04817154367336585,29194460.0,0.016866619182192694,0.014768237746415341,0.002604166666666741,-0.020356234096692183,5.0,2.0,0.030303030303030307,0
40,2017-01-29,XMR,5,0.005164,0.2128662886358104,2003047.6000000003,0.07819422000721465,0.06065439253948129,0.3971861471861473,0.408235614944096,3.0,3.0,0.030303030303030307,0
41,2017-01-29,ETC,6,1.3,0.06693948267510924,6206019.0,0.03154722308621173,0.04706338530323332,-0.05797101449275355,0.09243697478991607,1.0,2.0,0.030303030303030307,0
42,2017-01-29,DASH,7,15.51,0.09525156487508556,11253380.0,0.0373835463566063,0.041479948402478366,0.026472534745201948,0.2518159806295399,3.0,3.0,0.030303030303030307,0
43,2017-01-29,MAID,8,1.3,0.06693948267510924,6206019.0,0.03154722308621173,0.04706338530323332,-0.05797101449275355,0.09243697478991607,1.0,2.0,0.030303030303030307,0
44,2017-01-29,REP,9,0.141204,-0.07057542184905641,56434.57000000053,0.06637669571537047,0.05521065826352913,0.2352400864293649,0.14120841819416152,5.0,3.0,0.030303030303030307,0
45,2017-02-05,BTC,1,1027.34,-0.027793273885328595,1009290288.0,0.02090569290718803,0.01961524295841624,0.11728113104948325,0.11103420679810094,3.0,3.0,0.030303030303030307,0
46,2017-02-05,ETH,2,11.35,0.004395611473038129,75695840.0,0.0130081342367234,0.013106305031844987,0.0830152671755724,0.060747663551401924,5.0,3.0,0.030303030303030307,0
47,2017-02-05,XRP,3,0.006442,-0.02722219861717612,4790425.0,0.016024341370952103,0.019036429522843942,0.006248047485160946,-0.04036943244451063,5.0,2.0,0.030303030303030307,0
48,2017-02-05,LTC,4,4.04,-0.07182573457125563,59032050.0,0.017394936777419594,0.016803697668285586,0.049350649350649256,0.05208333333333348,3.0,2.0,0.030303030303030307,0
49,2017-02-05,XMR,5,0.006389,0.07694364998300783,2151524.4000000004,0.08043627439092481,0.07674235659495775,0.23721920991479475,0.7286255411255411,3.0,3.0,0.030303030303030307,0
50,2017-02-05,ETC,6,1.39,-0.12228957775827418,5476408.0,0.014802822963958491,0.02546791800734099,0.0692307692307692,0.007246376811594234,5.0,3.0,0.030303030303030307,0
51,2017-02-05,DASH,7,17.06,-0.008831379153043883,12243490.0,0.03181242305067748,0.0337395537374373,0.09993552546744032,0.12905360688285894,3.0,3.0,0.030303030303030307,0
52,2017-02-05,MAID,8,1.39,-0.12228957775827418,5476408.0,0.014802822963958491,0.02546791800734099,0.0692307692307692,0.007246376811594234,5.0,3.0,0.030303030303030307,0
53,2017-02-05,XEM,9,0.15987,-0.11528568749663992,672430.9,0.025042900753984583,0.041847159456157884,-0.01785878840376709,-0.00718513044396274,1.0,2.0,0.030303030303030307,0
54,2017-02-12,BTC,1,999.18,0.0475798687869089,1227087016.0,0.029618960373447988,0.02668900103578118,-0.02741059435045845,0.08665579119086453,3.0,2.0,0.030303030303030307,0
55,2017-02-12,ETH,2,11.4,0.11270192251619406,67137630.0,0.01838845665038146,0.016289834031551924,0.004405286343612369,0.08778625954198471,3.0,3.0,0.030303030303030307,0
