date,INDEX
11/27/2020,17108.40173
11/26/2020,17150.62358
11/25/2020,18732.12078
11/24/2020,19107.46445
11/23/2020,18364.12159
11/22/2020,18370.00252
11/21/2020,18642.23277
11/20/2020,18621.31437
11/19/2020,17817.09025
11/18/2020,17804.00563
11/17/2020,17645.40577
11/16/2020,16716.11132
11/15/2020,15955.58744
11/14/2020,16068.13871
11/13/2020,16317.80819
11/12/2020,16276.34395
11/11/2020,15701.33973
11/10/2020,15290.90268
11/9/2020,15332.3156
11/8/2020,15479.56704
11/7/2020,14833.75411
11/6/2020,15565.88058
11/5/2020,15579.84846
11/4/2020,14133.70715
11/3/2020,13950.30085
11/2/2020,13550.48938
11/1/2020,13737.10983
10/31/2020,13780.9947
10/30/2020,13546.52227
10/29/2020,13437.88324
10/28/2020,13271.28537
10/27/2020,13654.21844
10/26/2020,13075.2477
10/25/2020,13031.17431
10/24/2020,13108.06261
10/23/2020,12931.53902
10/22/2020,12965.89129
10/21/2020,12823.68919
10/20/2020,11916.33514
10/19/2020,11742.03715
10/18/2020,11483.35971
10/17/2020,11358.10157
10/16/2020,11322.12269
10/15/2020,11495.34965
10/14/2020,11429.50689
10/13/2020,11425.8994
10/12/2020,11555.36289
10/11/2020,11384.18195
10/10/2020,11296.36143
10/9/2020,11064.45759
10/8/2020,10915.68573
10/7/2020,10668.96896
10/6/2020,10604.40589
10/5/2020,10793.33943
10/4/2020,10669.58254
10/3/2020,10549.3289
10/2/2020,10575.97504
10/1/2020,10619.45191
9/30/2020,10784.49158
9/29/2020,10844.64098
9/28/2020,10709.65218
9/27/2020,10775.26938
9/26/2020,10750.72358
9/25/2020,10692.71721
9/24/2020,10760.06626
9/23/2020,10246.18649
9/22/2020,10538.46032
9/21/2020,10462.25962
9/20/2020,10938.27129
9/19/2020,11094.34628
9/18/2020,10944.5858
9/17/2020,10948.98992
9/16/2020,10974.90489
9/15/2020,10796.95099
9/14/2020,10680.83743
9/13/2020,10323.7558
9/12/2020,10442.1706
9/11/2020,10400.91469
9/10/2020,10363.13904
